MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,34462.0,1369,25,0.18 0.38 0.00 1.00,34.5 50.6 1.0 528.0
MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,45694.0,1200,38,0.19 0.39 0.00 1.00,45.7 75.2 1.0 610.0
MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,33176.0,1456,22,0.18 0.38 0.00 1.00,33.2 54.8 1.0 458.0
MiniGrid-Empty-16x16-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,262411.0,1811,144,0.77 0.18 0.00 0.95,262.4 198.3 59.0 1024.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,62361.0,1437,43,0.28 0.44 0.00 1.00,62.4 81.2 1.0 671.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_5,1177409.0,1141,1031,0.09 0.22 0.00 0.96,1177.4 265.9 59.0 1280.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_4_4,1159921.0,1140,1017,0.11 0.23 0.00 0.96,1159.9 282.2 50.0 1280.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,55394.0,1552,35,0.26 0.43 0.00 1.00,55.4 78.9 1.0 810.0
MiniGrid-MultiRoom-N2-S4-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,39355.0,1762,22,0.02 0.10 0.00 0.89,39.4 3.5 5.0 40.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,64421.0,1279,50,0.27 0.43 0.00 1.00,64.4 90.7 1.0 730.0
MiniGrid-DLTestingW16H16T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,289428.0,1728,167,0.37 0.46 0.00 1.00,289.4 452.6 1.0 1280.0
MiniGrid-Empty-Random-5x5-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,12120.0,1592,7,0.89 0.06 0.57 0.99,12.1 7.0 1.0 48.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_5,64301.0,1144,56,0.52 0.49 0.00 1.00,64.3 105.3 1.0 971.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_4_4,68984.0,1118,61,0.58 0.47 0.00 1.00,68.9 90.1 1.0 674.0
MiniGrid-DLTestingW16H16T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,96704.0,1596,60,0.19 0.38 0.00 1.00,96.7 185.4 1.0 1280.0
MiniGrid-DLTestingW16H16T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,123237.0,1414,87,0.17 0.36 0.00 1.00,123.2 215.6 1.0 1280.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_5,27000.0,1097,24,0.66 0.46 0.00 1.00,27.0 35.3 1.0 598.0
MiniGrid-DLTestingW16H16T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,82375.0,1196,68,0.21 0.40 0.00 1.00,82.4 150.3 1.0 1280.0
MiniGrid-MultiRoom-N6-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,120960.0,1638,73,0.00 0.00 0.00 0.00,120.0 0.0 120.0 120.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_4_4,32574.0,1065,30,0.65 0.46 0.00 1.00,32.6 43.3 1.0 510.0
MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_5,44704.0,1089,41,0.20 0.39 0.00 1.00,44.7 83.7 1.0 865.0
MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_4_4,52623.0,1073,49,0.21 0.41 0.00 1.00,52.6 83.8 1.0 879.0
MiniGrid-DLTestingW16H16T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,154209.0,1305,118,0.37 0.46 0.00 1.00,154.1 281.4 1.0 1280.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_5,65092.0,1099,59,0.32 0.46 0.00 1.00,65.1 105.8 1.0 1280.0
MiniGrid-Empty-Random-5x5-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,9255.0,1282,7,0.92 0.05 0.44 0.99,9.2 5.5 1.0 62.0
MiniGrid-DLTestingW16H16T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,287980.0,1661,173,0.36 0.45 0.00 1.00,288.0 448.3 1.0 1280.0
MiniGrid-UnlockPickup-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,289683.0,1742,166,0.00 0.03 0.00 0.50,287.4 7.2 159.0 288.0
MiniGrid-Empty-Random-5x5-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,10911.0,1492,7,0.90 0.05 0.67 0.99,10.9 5.8 1.0 37.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_4_4,126928.0,1111,114,0.24 0.41 0.00 1.00,126.9 176.2 1.0 1280.0
MiniGrid-Empty-16x16-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,406720.0,1776,229,0.64 0.24 0.00 0.94,406.7 257.7 68.0 1024.0
MiniGrid-DLTestingW16H16T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,299304.0,1468,203,0.39 0.45 0.00 1.00,299.3 425.8 1.0 1280.0
